student_id,name,subject,score,date,attendance,categorize_performance
1086,Dale,Computer Science,64.0,2021-08-31,absent,Medium
1320,John,Mathematics,78.0,2021-02-27,Present,Medium
1327,Scott,Computer Science,74.0,2022-09-05,Present,Medium
1327,Todd,Computer Science,60.0,2022-09-19,Present,Medium
1327,Bryce,Computer Science,78.7,2024-09-11,Present,Medium
1055,Jessica,Biology,79.0,2020-06-21,Present,Medium
1055,Rachel,Biology,77.0,2024-02-18,Present,Medium
1055,Brittany,Biology,66.0,2021-01-18,Present,Medium
1055,Linda,Biology,77.9,2023-11-14,absent,Medium
1055,Anthony,Biology,71.0,2023-05-18,Present,Medium
1262,Ann,Biology,77.9,2023-01-18,Present,Medium
1084,Allison,Computer Science,78.7,2022-03-15,absent,Medium
1084,Dorothy,Computer Science,78.7,2024-08-20,Absent,Medium
1084,Ashley,Computer Science,97.0,2020-09-14,Absent,High
1228,Vanessa,Biology,99.0,2020-04-22,absent,High
1228,Molly,Biology,63.0,2022-11-03,Present,Medium
1228,Sarah,Biology,77.9,2022-06-08,Present,Medium
1115,Brenda,Physics,76.0,2022-03-02,Present,Medium
1358,Patricia,Biology,98.0,2023-03-24,Absent,High
1358,Eric,Biology,77.9,2020-11-13,Absent,Medium
1358,Adrian,Biology,78.0,2020-10-10,Absent,Medium
1449,Michael,Physics,75.0,2023-02-24,Present,Medium
1449,William,Physics,95.0,2022-05-29,Present,High
1449,Erin,Physics,74.0,2024-07-19,Present,Medium
1449,Alyssa,Physics,63.0,2020-11-06,Present,Medium
1449,Christopher,Physics,75.0,2023-07-28,Present,Medium
1179,William,Biology,78.0,2020-06-05,Present,Medium
1179,Eric,Biology,66.0,2021-09-29,Present,Medium
1016,Michelle,Mathematics,76.0,2021-03-17,Present,Medium
1016,John,Mathematics,84.0,2020-09-01,Present,Medium
1341,Mary,Physics,88.0,2022-09-15,absent,High
1341,Patricia,Physics,85.0,2023-12-17,Absent,High
1341,Matthew,Physics,62.0,2021-06-29,Absent,Medium
1140,Tamara,Mathematics,87.0,2022-12-14,Present,High
1140,Sarah,Mathematics,90.0,2023-09-23,Present,High
1140,Kayla,Mathematics,90.0,2020-04-15,Present,High
1140,Shane,Mathematics,86.0,2021-11-25,absent,High
1056,Erin,Computer Science,81.0,2024-10-22,absent,Medium
1056,Andrea,Computer Science,70.0,2024-07-14,Present,Medium
1056,Patrick,Computer Science,78.7,2020-02-10,Present,Medium
1056,Daniel,Computer Science,86.0,2024-11-04,Present,High
1056,Christina,Computer Science,60.0,2020-06-25,absent,Medium
1065,Amber,Physics,92.0,2023-02-13,Absent,High
1065,Rebekah,Physics,78.0,2023-10-12,Absent,Medium
1412,Angela,Biology,74.0,2021-08-28,Present,Medium
1412,Amanda,Biology,88.0,2020-03-23,absent,High
1087,Stephen,Physics,81.0,2021-08-22,Present,Medium
1023,Adam,Computer Science,94.0,2020-03-02,Present,High
1023,Alexander,Computer Science,78.7,2021-11-15,Present,Medium
1023,Todd,Computer Science,72.0,2022-02-23,Present,Medium
1023,Natasha,Computer Science,92.0,2022-01-27,Present,High
1160,Kimberly,Physics,72.0,2024-01-24,Absent,Medium
1176,Penny,Computer Science,84.0,2024-01-23,Absent,Medium
1369,Brooke,Physics,100.0,2020-11-16,Absent,High
1369,Susan,Physics,77.9,2020-10-30,Absent,Medium
1054,Christian,Computer Science,63.0,2021-11-15,Absent,Medium
1304,Manuel,Mathematics,83.0,2020-08-11,Present,Medium
1493,Lynn,Physics,98.0,2021-02-25,Absent,High
1242,Richard,Physics,87.0,2021-07-07,Present,High
1242,Susan,Physics,81.0,2023-08-11,absent,Medium
1321,Jacqueline,Physics,66.0,2024-08-25,Present,Medium
1321,Kathleen,Physics,66.0,2022-05-15,Present,Medium
1078,Howard,Computer Science,91.0,2024-04-26,absent,High
1131,Philip,Biology,73.0,2023-08-12,absent,Medium
1166,Todd,Computer Science,92.0,2021-09-01,Present,High
1166,Chelsea,Computer Science,78.0,2023-06-03,Present,Medium
1468,Ashley,Biology,98.0,2020-11-29,Present,High
1468,Monica,Biology,79.0,2022-08-15,Present,Medium
1468,Monica,Biology,79.0,2023-04-27,absent,Medium
1244,Kenneth,Biology,77.9,2020-10-22,Present,Medium
1244,Mark,Biology,96.0,2020-05-19,absent,High
1173,Sarah,Biology,89.0,2024-10-02,Absent,High
1477,Brandy,Computer Science,68.0,2023-06-23,absent,Medium
1246,Christopher,Computer Science,66.0,2022-08-23,Absent,Medium
1246,Joseph,Computer Science,78.0,2020-02-23,Absent,Medium
1246,Meredith,Computer Science,78.7,2024-01-11,Absent,Medium
1246,Donna,Computer Science,72.0,2022-06-02,absent,Medium
1250,Chase,Mathematics,64.0,2022-02-27,Present,Medium
1096,Sonia,Computer Science,78.7,2022-11-20,absent,Medium
1090,Krystal,Computer Science,75.0,2023-10-15,Present,Medium
1090,Cameron,Computer Science,93.0,2021-04-20,Present,High
1302,Ann,Computer Science,65.0,2023-08-16,Absent,Medium
1239,Lisa,Mathematics,79.1,2024-05-02,Present,Medium
1239,Antonio,Mathematics,74.0,2021-10-26,Present,Medium
1239,Jennifer,Mathematics,66.0,2022-04-04,Present,Medium
1433,Melvin,Biology,62.0,2024-08-25,Present,Medium
1031,Samuel,Computer Science,71.0,2020-10-05,Absent,Medium
1465,Bonnie,Computer Science,88.0,2022-05-31,Absent,High
1465,Justin,Computer Science,77.0,2020-01-17,Absent,Medium
1465,Jasmine,Computer Science,77.0,2024-06-05,Absent,Medium
1033,Justin,Mathematics,79.1,2023-11-06,Present,Medium
1189,Aaron,Biology,80.0,2021-03-24,Present,Medium
1189,Sherri,Biology,74.0,2024-09-21,Present,Medium
1008,Kayla,Biology,79.0,2021-07-20,Present,Medium
1008,Stephanie,Biology,77.9,2023-01-26,absent,Medium
1384,Richard,Physics,64.0,2021-02-25,Absent,Medium
1384,Brittney,Physics,61.0,2023-12-24,Absent,Medium
1407,Austin,Biology,93.0,2022-09-12,Absent,High
1177,Michael,Mathematics,83.0,2022-07-13,Present,Medium
1173,Shawn,Biology,77.9,2024-10-02,Present,Medium
1104,Thomas,Computer Science,90.0,2021-10-27,Present,High
1321,Lynn,Biology,66.0,2024-08-25,Present,Medium
1321,Justin,Biology,80.0,2022-12-10,absent,Medium
1298,Frank,Mathematics,82.0,2021-07-14,Present,Medium
1298,Julia,Mathematics,65.0,2020-05-30,Present,Medium
1298,James,Mathematics,79.1,2020-11-14,Present,Medium
1298,Pamela,Mathematics,67.0,2024-09-25,Present,Medium
1127,James,Physics,93.0,2023-04-19,absent,High
1127,Tracie,Physics,81.0,2022-06-02,Absent,Medium
1125,Emily,Computer Science,97.0,2022-01-12,Present,High
1125,Mason,Computer Science,98.0,2021-09-13,Present,High
1125,Leslie,Computer Science,90.0,2023-10-31,Present,High
1369,Bill,Biology,100.0,2020-11-16,absent,High
1369,Jodi,Biology,89.0,2020-10-30,Absent,High
1193,John,Computer Science,60.0,2023-06-06,Present,Medium
1030,Edward,Physics,82.0,2023-11-04,Present,Medium
1359,Kelsey,Biology,82.0,2021-07-14,Absent,Medium
1135,Jennifer,Biology,74.0,2022-07-10,Absent,Medium
1135,Zachary,Biology,64.0,2022-11-20,Absent,Medium
1135,Matthew,Biology,95.0,2023-06-13,Absent,High
1496,Jacob,Biology,61.0,2022-10-19,Absent,Medium
1069,Brian,Mathematics,80.0,2022-10-12,Absent,Medium
1069,Lauren,Mathematics,72.0,2021-11-30,absent,Medium
1069,April,Mathematics,79.1,2020-02-03,Absent,Medium
1069,John,Mathematics,89.0,2021-02-05,absent,High
1054,Phillip,Computer Science,74.0,2024-01-04,Present,Medium
1200,Erik,Biology,69.0,2022-04-28,Absent,Medium
1200,Matthew,Biology,61.0,2020-01-19,absent,Medium
1147,Lisa,Biology,82.0,2024-02-03,Absent,Medium
1071,Tim,Physics,61.0,2020-11-08,Absent,Medium
1013,Daniel,Biology,74.0,2024-01-21,Present,Medium
1418,Michael,Computer Science,91.0,2023-04-11,Absent,High
1418,Jacqueline,Computer Science,83.0,2024-02-21,Absent,Medium
1394,Jonathan,Mathematics,60.0,2021-02-14,absent,Medium
1169,Larry,Biology,90.0,2024-08-27,absent,High
1169,Kaitlyn,Biology,79.0,2023-11-02,Absent,Medium
1009,Gerald,Mathematics,87.0,2024-03-14,absent,High
1083,Keith,Biology,87.0,2020-02-21,absent,High
1334,James,Mathematics,61.0,2022-10-25,absent,Medium
1334,David,Mathematics,66.0,2022-12-17,Absent,Medium
1334,Nicole,Mathematics,97.0,2020-10-19,Absent,High
1334,Carolyn,Mathematics,95.0,2021-04-21,Absent,High
1119,Holly,Biology,63.0,2023-06-26,Absent,Medium
1119,Michael,Biology,87.0,2022-01-16,Absent,High
1418,James,Biology,91.0,2023-04-11,Absent,High
1098,Christian,Computer Science,69.0,2020-07-30,absent,Medium
1098,Amber,Computer Science,89.0,2021-02-20,Absent,High
1462,Steven,Physics,64.0,2022-07-11,Absent,Medium
1044,Nicholas,Physics,69.0,2024-10-21,Absent,Medium
1044,Erin,Physics,88.0,2024-09-02,Absent,High
1044,Kelsey,Physics,84.0,2024-08-25,Absent,Medium
1044,Frank,Physics,81.0,2022-04-10,absent,Medium
1086,Paul,Physics,64.0,2021-08-31,Present,Medium
1436,Dennis,Mathematics,64.0,2024-02-20,absent,Medium
1436,John,Mathematics,75.0,2023-09-30,Absent,Medium
1111,Frances,Physics,77.0,2024-02-16,Present,Medium
1111,Dean,Physics,86.0,2024-08-14,Present,High
1111,Rachel,Physics,86.0,2021-04-15,Present,High
1111,Megan,Physics,79.0,2024-12-02,Present,Medium
1111,Bethany,Physics,77.0,2024-06-25,absent,Medium
1478,Alexis,Physics,77.9,2020-03-17,absent,Medium
1478,Charles,Physics,80.0,2021-10-05,absent,Medium
1191,Juan,Physics,83.0,2020-07-25,Absent,Medium
1191,Kelly,Physics,82.0,2023-07-27,Absent,Medium
1191,Heather,Physics,61.0,2021-05-31,absent,Medium
1415,Samantha,Physics,97.0,2023-06-05,Absent,High
1403,Robert,Computer Science,61.0,2021-11-23,Present,Medium
1403,Scott,Computer Science,75.0,2023-06-14,absent,Medium
1403,Marco,Computer Science,63.0,2022-06-01,Present,Medium
1403,Robert,Computer Science,82.0,2021-10-15,absent,Medium
1301,Chad,Biology,64.0,2022-03-21,Present,Medium
1106,Michelle,Physics,69.0,2024-08-02,Absent,Medium
1246,Jerry,Computer Science,66.0,2022-08-23,absent,Medium
1246,David,Computer Science,78.0,2020-02-23,Present,Medium
